r,g,b
0,0,0
0.066666667,0.066666667,0.066666667
0.133333333,0.133333333,0.133333333
0.2,0.2,0.2
0.266666667,0.266666667,0.266666667
0.333333333,0.333333333,0.333333333
0.4,0.4,0.4
0.466666667,0.466666667,0.466666667
0.533333333,0.533333333,0.533333333
0.6,0.6,0.6
0.666666667,0.666666667,0.666666667
0.733333333,0.733333333,0.733333333
0.8,0.8,0.8
0.866666667,0.866666667,0.866666667
0.933333333,0.933333333,0.933333333
1,1,1
0.035294118,0.098039216,0
0.098039216,0.156862745,0.023529412
0.160784314,0.215686275,0.050980392
0.22745098,0.278431373,0.078431373
0.290196078,0.337254902,0.105882353
0.352941176,0.396078431,0.133333333
0.419607843,0.458823529,0.160784314
0.482352941,0.517647059,0.188235294
0.549019608,0.576470588,0.211764706
0.611764706,0.639215686,0.239215686
0.674509804,0.698039216,0.266666667
0.741176471,0.756862745,0.294117647
0.803921569,0.819607843,0.321568627
0.870588235,0.878431373,0.349019608
0.933333333,0.937254902,0.376470588
1,1,0.403921569
0.188235294,0,0
0.239215686,0.066666667,0.031372549
0.294117647,0.133333333,0.066666667
0.349019608,0.2,0.098039216
0.403921569,0.266666667,0.133333333
0.458823529,0.333333333,0.164705882
0.509803922,0.4,0.2
0.564705882,0.466666667,0.231372549
0.619607843,0.533333333,0.266666667
0.674509804,0.6,0.298039216
0.729411765,0.666666667,0.333333333
0.780392157,0.733333333,0.364705882
0.835294118,0.8,0.4
0.890196078,0.866666667,0.431372549
0.945098039,0.933333333,0.466666667
1,1,0.501960784
0.294117647,0,0
0.341176471,0.058823529,0.047058824
0.388235294,0.117647059,0.094117647
0.435294118,0.180392157,0.141176471
0.478431373,0.239215686,0.188235294
0.529411765,0.301960784,0.235294118
0.576470588,0.360784314,0.28627451
0.623529412,0.419607843,0.333333333
0.670588235,0.482352941,0.380392157
0.71372549,0.541176471,0.42745098
0.764705882,0.603921569,0.474509804
0.811764706,0.662745098,0.525490196
0.858823529,0.721568627,0.57254902
0.901960784,0.784313725,0.619607843
0.952941176,0.843137255,0.666666667
1,0.905882353,0.717647059
0.333333333,0,0
0.376470588,0.054901961,0.062745098
0.419607843,0.109803922,0.129411765
0.466666667,0.164705882,0.196078431
0.509803922,0.219607843,0.262745098
0.552941176,0.274509804,0.329411765
0.6,0.329411765,0.396078431
0.643137255,0.384313725,0.462745098
0.68627451,0.443137255,0.529411765
0.733333333,0.498039216,0.596078431
0.776470588,0.552941176,0.662745098
0.819607843,0.607843137,0.729411765
0.866666667,0.662745098,0.796078431
0.909803922,0.717647059,0.862745098
0.952941176,0.77254902,0.929411765
1,0.831372549,0.996078431
0.298039216,0,0.278431373
0.341176471,0.050980392,0.325490196
0.388235294,0.105882353,0.37254902
0.435294118,0.156862745,0.419607843
0.482352941,0.211764706,0.470588235
0.529411765,0.262745098,0.517647059
0.576470588,0.317647059,0.564705882
0.623529412,0.368627451,0.611764706
0.670588235,0.423529412,0.662745098
0.717647059,0.474509804,0.709803922
