r,g,b
0,0,0
0.066666667,0.066666667,0.066666667
0.133333333,0.133333333,0.133333333
0.2,0.2,0.2
0.266666667,0.266666667,0.266666667
0.333333333,0.333333333,0.333333333
0.4,0.4,0.4
0.466666667,0.466666667,0.466666667
0.533333333,0.533333333,0.533333333
0.6,0.6,0.6
0.666666667,0.666666667,0.666666667
0.733333333,0.733333333,0.733333333
0.8,0.8,0.8
0.866666667,0.866666667,0.866666667
0.933333333,0.933333333,0.933333333
1,1,1
0.098039216,0.02745098,0
0.164705882,0.094117647,0
0.231372549,0.160784314,0
0.298039216,0.22745098,0
0.364705882,0.294117647,0
0.431372549,0.360784314,0
0.498039216,0.42745098,0
0.564705882,0.494117647,0.035294118
0.631372549,0.560784314,0.101960784
0.701960784,0.62745098,0.168627451
0.764705882,0.694117647,0.235294118
0.831372549,0.760784314,0.301960784
0.898039216,0.82745098,0.368627451
0.968627451,0.894117647,0.435294118
1,0.960784314,0.509803922
1,1,0.588235294
0.192156863,0,0
0.247058824,0,0
0.325490196,0.090196078,0
0.392156863,0.156862745,0
0.458823529,0.223529412,0
0.525490196,0.290196078,0
0.592156863,0.356862745,0.039215686
0.658823529,0.423529412,0.105882353
0.725490196,0.490196078,0.17254902
0.792156863,0.556862745,0.239215686
0.858823529,0.623529412,0.305882353
0.925490196,0.690196078,0.37254902
0.992156863,0.756862745,0.439215686
1,0.823529412,0.521568627
1,0.890196078,0.611764706
1,0.956862745,0.698039216
0.258823529,0.015686275,0.015686275
0.309803922,0,0
0.376470588,0.031372549,0
0.443137255,0.098039216,0
0.509803922,0.164705882,0.050980392
0.576470588,0.231372549,0.117647059
0.643137255,0.298039216,0.184313725
0.709803922,0.364705882,0.250980392
0.776470588,0.431372549,0.317647059
0.843137255,0.498039216,0.384313725
0.909803922,0.564705882,0.450980392
0.976470588,0.631372549,0.51372549
1,0.698039216,0.596078431
1,0.764705882,0.682352941
1,0.831372549,0.768627451
1,0.898039216,0.854901961
0.254901961,0.003921569,0.011764706
0.31372549,0,0.058823529
0.380392157,0,0.105882353
0.447058824,0.058823529,0.168627451
0.51372549,0.125490196,0.235294118
0.580392157,0.192156863,0.301960784
0.647058824,0.258823529,0.368627451
0.71372549,0.325490196,0.435294118
0.780392157,0.392156863,0.501960784
0.847058824,0.458823529,0.568627451
0.91372549,0.525490196,0.635294118
0.980392157,0.592156863,0.701960784
1,0.658823529,0.784313725
1,0.725490196,0.870588235
1,0.792156863,0.937254902
0.984313725,0.862745098,0.964705882
0.2,0,0.207843137
0.266666667,0,0.254901961
0.333333333,0,0.298039216
0.4,0.047058824,0.360784314
0.466666667,0.11372549,0.42745098
0.533333333,0.180392157,0.494117647
0.6,0.247058824,0.560784314
0.666666667,0.31372549,0.62745098
0.733333333,0.380392157,0.694117647
0.8,0.447058824,0.760784314
0.866666667,0.51372549,0.82745098
0.933333333,0.580392157,0.894117647
1,0.647058824,0.894117647
1,0.71372549,0.91372549
1,0.780392157,0.933333333
