r,g,b
0,0,0
0.066666667,0.066666667,0.066666667
0.133333333,0.133333333,0.133333333
0.2,0.2,0.2
0.266666667,0.266666667,0.266666667
0.333333333,0.333333333,0.333333333
0.4,0.4,0.4
0.466666667,0.466666667,0.466666667
0.533333333,0.533333333,0.533333333
0.6,0.6,0.6
0.666666667,0.666666667,0.666666667
0.733333333,0.733333333,0.733333333
0.8,0.8,0.8
0.866666667,0.866666667,0.866666667
0.933333333,0.933333333,0.933333333
1,1,1
0,0.498039216,0.498039216
0.247058824,0.749019608,0.749019608
0,1,1
0.749019608,1,1
0.505882353,0.505882353,1
0,0,1
0.247058824,0.247058824,0.749019608
0,0,0.498039216
0.058823529,0.058823529,0.31372549
0.498039216,0,0.498039216
0.749019608,0.247058824,0.749019608
0.960784314,0,0.960784314
0.992156863,0.505882353,1
1,0.752941176,0.796078431
1,0.505882353,0.505882353
1,0,0
0.749019608,0.247058824,0.247058824
0.498039216,0,0
0.333333333,0.078431373,0.078431373
0.498039216,0.247058824,0
0.749019608,0.498039216,0.247058824
1,0.498039216,0
1,0.749019608,0.505882353
1,1,0.749019608
1,1,0
0.749019608,0.749019608,0.247058824
0.498039216,0.498039216,0
0,0.498039216,0
0.247058824,0.749019608,0.247058824
0,1,0
0.68627451,1,0.68627451
0,0.749019608,1
0,0.498039216,1
0.294117647,0.490196078,0.784313725
0.737254902,0.68627451,0.752941176
0.796078431,0.666666667,0.537254902
0.650980392,0.62745098,0.564705882
0.494117647,0.580392157,0.580392157
0.431372549,0.509803922,0.529411765
0.494117647,0.431372549,0.376470588
0.62745098,0.411764706,0.37254902
0.752941176,0.470588235,0.447058824
0.815686275,0.541176471,0.454901961
0.882352941,0.607843137,0.490196078
0.921568627,0.666666667,0.549019608
0.960784314,0.725490196,0.607843137
0.964705882,0.784313725,0.68627451
0.960784314,0.882352941,0.823529412
0.498039216,0,1
0.341176471,0.231372549,0.231372549
0.450980392,0.254901961,0.235294118
0.556862745,0.333333333,0.333333333
0.670588235,0.450980392,0.450980392
0.780392157,0.560784314,0.560784314
0.890196078,0.670588235,0.670588235
0.97254902,0.823529412,0.854901961
0.890196078,0.780392157,0.670588235
0.768627451,0.619607843,0.450980392
0.560784314,0.450980392,0.341176471
0.450980392,0.341176471,0.231372549
0.231372549,0.176470588,0.121568627
0.254901961,0.254901961,0.137254902
0.450980392,0.450980392,0.231372549
0.560784314,0.560784314,0.341176471
0.635294118,0.635294118,0.333333333
0.709803922,0.709803922,0.447058824
0.780392157,0.780392157,0.560784314
0.854901961,0.854901961,0.670588235
0.929411765,0.929411765,0.780392157
0.780392157,0.890196078,0.670588235
0.670588235,0.780392157,0.560784314
0.556862745,0.745098039,0.333333333
0.450980392,0.560784314,0.341176471
0.345098039,0.490196078,0.243137255
0.274509804,0.31372549,0.196078431
0.098039216,0.117647059,0.058823529
0.137254902,0.31372549,0.215686275
0.231372549,0.341176471,0.231372549
0.31372549,0.392156863,0.31372549
