r,g,b
0,0,0
1,0.007843137,0
1,0.019607843,0
1,0.02745098,0
1,0.039215686,0
1,0.047058824,0
1,0.058823529,0
1,0.066666667,0
1,0.078431373,0
1,0.08627451,0
1,0.098039216,0
1,0.109803922,0
1,0.117647059,0
1,0.129411765,0
1,0.137254902,0
1,0.149019608,0
1,0.156862745,0
1,0.168627451,0
1,0.176470588,0
1,0.188235294,0
1,0.196078431,0
1,0.207843137,0
1,0.219607843,0
1,0.22745098,0
1,0.239215686,0
1,0.247058824,0
1,0.258823529,0
1,0.266666667,0
1,0.278431373,0
1,0.28627451,0
1,0.298039216,0
1,0.309803922,0
1,0.317647059,0
1,0.329411765,0
1,0.337254902,0
1,0.349019608,0
1,0.356862745,0
1,0.368627451,0
1,0.376470588,0
1,0.388235294,0
1,0.396078431,0
1,0.407843137,0
1,0.419607843,0
1,0.42745098,0
1,0.439215686,0
1,0.447058824,0
1,0.458823529,0
1,0.466666667,0
1,0.478431373,0
1,0.48627451,0
1,0.498039216,0
1,0.509803922,0
1,0.517647059,0
1,0.529411765,0
1,0.537254902,0
1,0.549019608,0
1,0.556862745,0
1,0.568627451,0
1,0.576470588,0
1,0.588235294,0
1,0.596078431,0
1,0.607843137,0
1,0.619607843,0
1,0.62745098,0
1,0.639215686,0
1,0.647058824,0
1,0.658823529,0
1,0.666666667,0
1,0.678431373,0
1,0.68627451,0
1,0.698039216,0
1,0.709803922,0
1,0.717647059,0
1,0.729411765,0
1,0.737254902,0
1,0.749019608,0
1,0.756862745,0
1,0.768627451,0
1,0.776470588,0
1,0.788235294,0
1,0.796078431,0
1,0.807843137,0
1,0.819607843,0
1,0.82745098,0
1,0.839215686,0
1,0.847058824,0
1,0.858823529,0
1,0.866666667,0
1,0.878431373,0
1,0.88627451,0
1,0.898039216,0
1,0.909803922,0
1,0.917647059,0
1,0.929411765,0
1,0.937254902,0
1,0.949019608,0
1,0.956862745,0
1,0.968627451,0
1,0.976470588,0
1,0.988235294,0
1,0.996078431,0
1,1,0
0.976470588,0.996078431,0.015686275
0.952941176,0.988235294,0.035294118
0.925490196,0.984313725,0.054901961
0.901960784,0.976470588,0.074509804
0.878431373,0.97254902,0.090196078
0.850980392,0.964705882,0.109803922
0.82745098,0.956862745,0.129411765
0.8,0.952941176,0.149019608
0.776470588,0.945098039,0.168627451
0.752941176,0.941176471,0.184313725
0.725490196,0.933333333,0.203921569
0.701960784,0.925490196,0.223529412
0.678431373,0.921568627,0.243137255
0.650980392,0.91372549,0.258823529
0.62745098,0.909803922,0.278431373
0.6,0.901960784,0.298039216
0.576470588,0.894117647,0.317647059
0.552941176,0.890196078,0.337254902
0.525490196,0.882352941,0.352941176
0.501960784,0.878431373,0.37254902
0.478431373,0.870588235,0.392156863
0.450980392,0.862745098,0.411764706
0.42745098,0.858823529,0.42745098
0.4,0.850980392,0.447058824
0.376470588,0.847058824,0.466666667
0.352941176,0.839215686,0.48627451
0.325490196,0.831372549,0.505882353
0.301960784,0.82745098,0.521568627
0.278431373,0.819607843,0.541176471
0.250980392,0.815686275,0.560784314
0.22745098,0.807843137,0.580392157
0.2,0.8,0.6
0.176470588,0.796078431,0.615686275
0.152941176,0.788235294,0.635294118
0.125490196,0.784313725,0.654901961
0.101960784,0.776470588,0.674509804
0.078431373,0.77254902,0.690196078
0.050980392,0.764705882,0.709803922
0.02745098,0.756862745,0.729411765
0,0.749019608,0.745098039
0,0.745098039,0.745098039
0,0.741176471,0.745098039
0,0.737254902,0.745098039
0,0.733333333,0.745098039
0,0.729411765,0.749019608
0,0.725490196,0.749019608
0,0.721568627,0.749019608
0,0.717647059,0.749019608
0,0.71372549,0.749019608
0,0.709803922,0.752941176
0,0.705882353,0.752941176
0,0.701960784,0.752941176
0,0.698039216,0.752941176
0,0.694117647,0.752941176
0,0.690196078,0.756862745
0,0.682352941,0.756862745
0,0.678431373,0.756862745
0,0.674509804,0.756862745
0,0.670588235,0.760784314
0,0.666666667,0.760784314
0,0.662745098,0.760784314
0,0.658823529,0.760784314
0,0.654901961,0.760784314
0,0.650980392,0.764705882
0,0.647058824,0.764705882
0,0.643137255,0.764705882
0,0.639215686,0.764705882
0,0.635294118,0.764705882
0,0.631372549,0.768627451
0,0.62745098,0.768627451
0,0.623529412,0.768627451
0,0.615686275,0.768627451
