r,g,b
1,0.88627451,0.88627451
1,0.788235294,0.788235294
0.960784314,0.678431373,0.678431373
0.945098039,0.529411765,0.529411765
0.890196078,0.42745098,0.42745098
0.749019608,0.176470588,0.176470588
0.996078431,0.843137255,0.8
0.992156863,0.611764706,0.592156863
0.91372549,0.415686275,0.403921569
0.878431373,0.282352941,0.282352941
0.823529412,0.062745098,0.207843137
0.733333333,0.019607843,0.121568627
1,0.796078431,0.835294118
1,0.678431373,0.737254902
1,0.474509804,0.57254902
0.905882353,0.28627451,0.403921569
0.890196078,0.11372549,0.258823529
0.780392157,0.168627451,0.231372549
0.717647059,0.121568627,0.2
0.654901961,0.074509804,0.168627451
0.592156863,0.043137255,0.137254902
0.529411765,0.02745098,0.121568627
0.482352941,0,0.105882353
1,0.698039216,0.733333333
0.988235294,0.564705882,0.635294118
1,0.474509804,0.549019608
1,0.341176471,0.450980392
1,0.874509804,0.850980392
0.992156863,0.709803922,0.709803922
1,0.568627451,0.568627451
0.729411765,0.290196078,0.290196078
1,0.843137255,0.843137255
1,0.741176471,0.741176471
0.901960784,0.541176471,0.541176471
0.811764706,0.450980392,0.450980392
0.917647059,0.525490196,0.6
0.858823529,0.333333333,0.431372549
0.701960784,0.184313725,0.282352941
0.568627451,0.207843137,0.274509804
1,0.933333333,0.921568627
0.984313725,0.678431373,0.705882353
0.988235294,0.690196078,0.725490196
0.949019608,0.462745098,0.533333333
0.933333333,0.329411765,0.431372549
0.701960784,0.231372549,0.294117647
0.941176471,0.807843137,0.831372549
0.894117647,0.650980392,0.674509804
0.909803922,0.529411765,0.607843137
0.854901961,0.403921569,0.51372549
0.737254902,0.262745098,0.396078431
0.670588235,0.007843137,0.28627451
0.984313725,0.749019608,0.760784314
0.905882353,0.662745098,0.674509804
0.788235294,0.419607843,0.439215686
0.670588235,0.2,0.341176471
0.533333333,0.082352941,0.192156863
1,0.752941176,0.803921569
1,0.690196078,0.745098039
1,0.643137255,0.745098039
0.88627451,0.282352941,0.454901961
0.819607843,0.156862745,0.415686275
0.803921569,0.184313725,0.388235294
1,0.549019608,0.682352941
0.952941176,0.278431373,0.545098039
0.878431373,0.156862745,0.462745098
0.956862745,0.682352941,0.843137255
0.917647059,0.611764706,0.768627451
0.77254902,0.28627451,0.537254902
0.611764706,0.141176471,0.384313725
0.607843137,0.074509804,0.349019608
0.509803922,0,0.262745098
1,0.874509804,0.843137255
0.921568627,0.717647059,0.68627451
0.88627451,0.62745098,0.6
0.8,0.517647059,0.48627451
0.737254902,0.423529412,0.392156863
0.631372549,0.294117647,0.317647059
0.874509804,0.701960784,0.733333333
0.858823529,0.662745098,0.698039216
0.717647059,0.450980392,0.498039216
0.607843137,0.356862745,0.4
0.505882353,0.28627451,0.321568627
0.443137255,0.254901961,0.28627451
0.509803922,0.149019608,0.215686275
0.843137255,0.796078431,0.82745098
0.717647059,0.615686275,0.654901961
0.584313725,0.435294118,0.48627451
0.470588235,0.341176471,0.384313725
0.729411765,0.568627451,0.666666667
0.580392157,0.376470588,0.51372549
0.447058824,0.215686275,0.364705882
0.341176471,0.141176471,0.2
0.890196078,0.796078431,0.890196078
0.823529412,0.623529412,0.764705882
0.639215686,0.482352941,0.654901961
0.51372549,0.356862745,0.545098039
0.423529412,0.22745098,0.431372549
0.388235294,0.211764706,0.4
0.901960784,0.8,0.850980392
0.858823529,0.701960784,0.796078431
0.639215686,0.388235294,0.545098039
0.501960784,0.22745098,0.419607843
0.360784314,0.094117647,0.305882353
0.82745098,0.843137255,0.929411765
0.717647059,0.749019608,0.866666667
0.639215686,0.682352941,0.819607843
0.678431373,0.654901961,0.780392157
0.596078431,0.568627451,0.71372549
0.466666667,0.419607843,0.596078431
0.360784314,0.329411765,0.470588235
0.733333333,0.764705882,0.850980392
0.560784314,0.611764706,0.756862745
0.439215686,0.490196078,0.635294118
0.376470588,0.403921569,0.549019608
0.333333333,0.356862745,0.482352941
0.298039216,0.321568627,0.431372549
0.274509804,0.270588235,0.388235294
0.690196078,0.752941176,0.854901961
0.482352941,0.556862745,0.670588235
0.360784314,0.447058824,0.580392157
0.752941176,0.8,0.870588235
0.580392157,0.658823529,0.776470588
0.454901961,0.556862745,0.71372549
0.274509804,0.415686275,0.556862745
0.074509804,0.278431373,0.490196078
0.066666667,0.254901961,0.42745098
0.054901961,0.211764706,0.360784314
0.858823529,0.925490196,0.960784314
0.741176471,0.866666667,0.929411765
0.631372549,0.760784314,0.843137255
0.419607843,0.619607843,0.749019608
0.278431373,0.505882353,0.647058824
0.223529412,0.411764706,0.529411765
0.188235294,0.760784314,0.925490196
0.078431373,0.666666667,0.815686275
0.149019608,0.588235294,0.71372549
0.023529412,0.890196078,0.901960784
0.015686275,0.768627451,0.792156863
0.070588235,0.682352941,0.729411765
0.780392157,0.792156863,0.843137255
0.6,0.623529412,0.717647059
0.470588235,0.501960784,0.643137255
0.933333333,0.988235294,0.988235294
0.850980392,0.921568627,0.945098039
0.803921569,0.874509804,0.929411765
0.721568627,0.823529412,0.901960784
0.57254902,0.705882353,0.807843137
0.450980392,0.623529412,0.756862745
0.352941176,0.560784314,0.721568627
0.207843137,0.4,0.545098039
0.17254902,0.349019608,0.48627451
0.145098039,0.231372549,0.450980392
0.129411765,0.188235294,0.388235294
0.105882353,0.156862745,0.325490196
0.858823529,0.88627451,0.91372549
0.780392157,0.819607843,0.858823529
0.635294118,0.709803922,0.776470588
0.415686275,0.521568627,0.619607843
0.270588235,0.360784314,0.443137255
0.219607843,0.298039216,0.368627451
0.77254902,0.909803922,0.929411765
0.674509804,0.847058824,0.88627451
0.494117647,0.694117647,0.784313725
0.309803922,0.576470588,0.654901961
0.243137255,0.521568627,0.635294118
0.231372549,0.462745098,0.560784314
0.196078431,0.4,0.48627451
0.109803922,0.31372549,0.4
0.898039216,0.988235294,0.992156863
0.6,0.811764706,0.850980392
0.392156863,0.670588235,0.729411765
0.239215686,0.584313725,0.647058824
0.203921569,0.498039216,0.549019608
0.737254902,0.890196078,0.901960784
0.564705882,0.764705882,0.8
0.356862745,0.639215686,0.701960784
0.282352941,0.556862745,0.603921569
0.247058824,0.48627451,0.521568627
0.211764706,0.411764706,0.439215686
0.866666667,0.890196078,0.890196078
0.741176471,0.796078431,0.796078431
0.596078431,0.682352941,0.682352941
0.396078431,0.498039216,0.498039216
0.337254902,0.415686275,0.415686275
0.321568627,0.701960784,0.682352941
0.254901961,0.576470588,0.57254902
0.203921569,0.490196078,0.458823529
0.662745098,0.88627451,0.847058824
0.349019608,0.780392157,0.705882353
0.243137255,0.71372549,0.631372549
0.184313725,0.549019608,0.517647059
0.28627451,0.701960784,0.631372549
0.239215686,0.576470588,0.517647059
0.215686275,0.517647059,0.466666667
0.564705882,0.752941176,0.705882353
0.435294118,0.682352941,0.623529412
0.31372549,0.545098039,0.490196078
0.278431373,0.482352941,0.431372549
0.725490196,0.843137255,0.752941176
0.654901961,0.803921569,0.68627451
0.560784314,0.752941176,0.596078431
0.325490196,0.592156863,0.415686275
0.2,0.51372549,0.384313725
0.6,0.764705882,0.666666667
0.396078431,0.647058824,0.490196078
0.301960784,0.51372549,0.380392157
0.278431373,0.466666667,0.349019608
0.17254902,0.415686275,0.270588235
0.768627451,0.870588235,0.8
0.698039216,0.831372549,0.741176471
0.482352941,0.674509804,0.580392157
0.356862745,0.564705882,0.443137255
0.223529412,0.435294118,0.321568627
0.015686275,0.301960784,0.2
0.635294118,0.839215686,0.678431373
0.533333333,0.729411765,0.568627451
0.42745098,0.670588235,0.466666667
0.105882353,0.615686275,0.419607843
0.094117647,0.564705882,0.396078431
0.082352941,0.435294118,0.28627451
0.066666667,0.352941176,0.231372549
0.843137255,0.929411765,0.8
0.650980392,0.760784314,0.596078431
0.411764706,0.533333333,0.352941176
0.380392157,0.478431373,0.321568627
0.125490196,0.37254902,0.180392157
0.094117647,0.28627451,0.137254902
0.784313725,0.847058824,0.721568627
0.552941176,0.650980392,0.458823529
0.450980392,0.545098039,0.356862745
0.345098039,0.443137255,0.254901961
0.250980392,0.321568627,0.188235294
0.894117647,0.925490196,0.831372549
0.8,0.850980392,0.694117647
0.443137255,0.576470588,0.360784314
0.250980392,0.415686275,0.22745098
0.105882353,0.349019608,0.082352941
0.105882353,0.325490196,0
0.619607843,0.811764706,0.203921569
0.482352941,0.709803922,0.278431373
0.278431373,0.654901961,0.184313725
0.247058824,0.560784314,0.160784314
0.02745098,0.450980392,0.105882353
0.780392157,0.901960784,0.4
0.498039216,0.701960784,0.207843137
0.384313725,0.541176471,0.156862745
0.333333333,0.470588235,0.133333333
0.847058824,0.894117647,0.596078431
0.682352941,0.749019608,0.474509804
0.580392157,0.670588235,0.309803922
0.447058824,0.517647059,0.235294118
0.384313725,0.443137255,0.2
0.298039216,0.345098039,0.149019608
0.258823529,0.301960784,0.129411765
0.192156863,0.223529412,0.098039216
0.670588235,0.694117647,0.592156863
