r,g,b
0,0,0
0.133333333,0.137254902,0.137254902
0.262745098,0.270588235,0.28627451
0.384313725,0.407843137,0.443137255
0.509803922,0.545098039,0.596078431
0.650980392,0.682352941,0.729411765
0.803921569,0.823529412,0.854901961
0.960784314,0.968627451,0.980392157
0.384313725,0.364705882,0.329411765
0.521568627,0.458823529,0.396078431
0.619607843,0.549019608,0.474509804
0.682352941,0.631372549,0.537254902
0.733333333,0.68627451,0.643137255
0.8,0.764705882,0.694117647
0.917647059,0.858823529,0.788235294
1,0.952941176,0.839215686
0.345098039,0.192156863,0.149019608
0.450980392,0.239215686,0.231372549
0.533333333,0.31372549,0.254901961
0.603921569,0.384313725,0.298039216
0.678431373,0.431372549,0.317647059
0.835294118,0.552941176,0.419607843
0.984313725,0.666666667,0.517647059
1,0.807843137,0.498039216
0,0.152941176,0.207843137
0,0.219607843,0.31372549
0,0.301960784,0.368627451
0.043137255,0.4,0.498039216
0,0.435294118,0.537254902
0.196078431,0.549019608,0.654901961
0.141176471,0.682352941,0.839215686
0.533333333,0.839215686,1
0.4,0.168627451,0.160784314
0.580392157,0.211764706,0.22745098
0.71372549,0.301960784,0.274509804
0.803921569,0.368627451,0.274509804
0.890196078,0.470588235,0.250980392
0.976470588,0.607843137,0.305882353
1,0.737254902,0.305882353
1,0.91372549,0.28627451
0.156862745,0.168627451,0.290196078
0.22745098,0.270588235,0.407843137
0.380392157,0.37254902,0.517647059
0.478431373,0.466666667,0.6
0.525490196,0.564705882,0.698039216
0.588235294,0.698039216,0.850980392
0.780392157,0.839215686,1
0.776470588,0.925490196,1
0,0.133333333,0.098039216
0,0.196078431,0.129411765
0.090196078,0.290196078,0.105882353
0.133333333,0.349019608,0.094117647
0.184313725,0.411764706,0.047058824
0.317647059,0.533333333,0.133333333
0.490196078,0.643137255,0.176470588
0.650980392,0.8,0.203921569
0.094117647,0.121568627,0.184313725
0.137254902,0.196078431,0.301960784
0.145098039,0.274509804,0.419607843
0.211764706,0.419607843,0.541176471
0.192156863,0.556862745,0.721568627
0.254901961,0.698039216,0.890196078
0.321568627,0.823529412,1
0.454901961,0.960784314,0.992156863
0.101960784,0.2,0.17254902
0.184313725,0.247058824,0.219607843
0.219607843,0.317647059,0.250980392
0.196078431,0.360784314,0.250980392
0.254901961,0.454901961,0.333333333
0.28627451,0.537254902,0.376470588
0.333333333,0.71372549,0.490196078
0.568627451,0.854901961,0.631372549
0.368627451,0.02745098,0.066666667
0.509803922,0.129411765,0.11372549
0.71372549,0.235294118,0.207843137
0.894117647,0.360784314,0.37254902
1,0.462745098,0.462745098
1,0.607843137,0.658823529
1,0.733333333,0.780392157
1,0.858823529,1
0.176470588,0.192156863,0.211764706
0.282352941,0.278431373,0.301960784
0.356862745,0.360784314,0.411764706
0.450980392,0.450980392,0.498039216
0.517647059,0.529411765,0.584313725
0.670588235,0.682352941,0.745098039
0.729411765,0.780392157,0.858823529
0.921568627,0.941176471,0.964705882
0.231372549,0.188235294,0.235294118
0.352941176,0.235294118,0.270588235
0.541176471,0.321568627,0.345098039
0.682352941,0.419607843,0.376470588
0.780392157,0.509803922,0.423529412
0.847058824,0.623529412,0.458823529
0.925490196,0.77254902,0.505882353
1,0.980392157,0.670588235
0.192156863,0.133333333,0.164705882
0.290196078,0.207843137,0.235294118
0.368627451,0.274509804,0.274509804
0.447058824,0.352941176,0.317647059
0.494117647,0.423529412,0.329411765
0.619607843,0.541176471,0.431372549
0.752941176,0.647058824,0.533333333
0.866666667,0.749019608,0.603921569
