r,g,b
0,0,0
0,0,0.015686275
0.015686275,0,0
0,0.015686275,0
0.015686275,0.015686275,0.015686275
0.031372549,0,0.031372549
0.031372549,0.015686275,0.031372549
0.015686275,0.031372549,0.031372549
0.031372549,0.031372549,0.031372549
0.047058824,0.031372549,0.015686275
0.047058824,0.031372549,0.047058824
0.031372549,0.047058824,0.047058824
0.062745098,0.031372549,0.062745098
0.062745098,0.047058824,0.031372549
0.062745098,0.047058824,0.062745098
0.078431373,0.047058824,0.047058824
0.078431373,0.047058824,0.078431373
0.078431373,0.062745098,0.047058824
0.078431373,0.062745098,0.078431373
0.094117647,0.062745098,0.062745098
0.094117647,0.062745098,0.094117647
0.094117647,0.078431373,0.062745098
0.094117647,0.078431373,0.094117647
0.109803922,0.078431373,0.078431373
0.109803922,0.078431373,0.109803922
0.109803922,0.094117647,0.078431373
0.109803922,0.094117647,0.109803922
0.125490196,0.094117647,0.094117647
0.125490196,0.094117647,0.125490196
0.125490196,0.109803922,0.094117647
0.125490196,0.109803922,0.125490196
0.141176471,0.109803922,0.109803922
0.125490196,0.125490196,0.109803922
0.125490196,0.125490196,0.141176471
0.141176471,0.125490196,0.141176471
0.156862745,0.125490196,0.125490196
0.141176471,0.141176471,0.125490196
0.141176471,0.141176471,0.156862745
0.156862745,0.141176471,0.156862745
0.17254902,0.141176471,0.141176471
0.156862745,0.156862745,0.141176471
0.156862745,0.156862745,0.17254902
0.17254902,0.156862745,0.17254902
0.188235294,0.156862745,0.156862745
0.188235294,0.156862745,0.188235294
0.17254902,0.17254902,0.188235294
0.156862745,0.188235294,0.17254902
0.17254902,0.188235294,0.17254902
0.203921569,0.17254902,0.203921569
0.188235294,0.188235294,0.203921569
0.17254902,0.203921569,0.188235294
0.188235294,0.203921569,0.188235294
0.219607843,0.188235294,0.219607843
0.203921569,0.203921569,0.219607843
0.188235294,0.219607843,0.203921569
0.203921569,0.219607843,0.203921569
0.203921569,0.219607843,0.235294118
0.219607843,0.219607843,0.235294118
0.203921569,0.235294118,0.219607843
0.219607843,0.235294118,0.219607843
0.219607843,0.235294118,0.250980392
0.235294118,0.235294118,0.250980392
0.219607843,0.250980392,0.235294118
0.250980392,0.235294118,0.266666667
0.235294118,0.250980392,0.266666667
0.250980392,0.250980392,0.266666667
0.266666667,0.250980392,0.250980392
0.266666667,0.250980392,0.282352941
0.266666667,0.266666667,0.235294118
0.266666667,0.266666667,0.266666667
0.282352941,0.266666667,0.266666667
0.282352941,0.266666667,0.298039216
0.282352941,0.282352941,0.250980392
0.282352941,0.282352941,0.282352941
0.298039216,0.282352941,0.282352941
0.298039216,0.282352941,0.31372549
0.298039216,0.298039216,0.266666667
0.298039216,0.298039216,0.298039216
0.298039216,0.298039216,0.329411765
0.31372549,0.298039216,0.329411765
0.31372549,0.31372549,0.282352941
0.31372549,0.31372549,0.31372549
0.31372549,0.31372549,0.345098039
0.31372549,0.329411765,0.298039216
0.345098039,0.31372549,0.329411765
0.329411765,0.329411765,0.329411765
0.329411765,0.329411765,0.360784314
0.329411765,0.345098039,0.31372549
0.360784314,0.329411765,0.345098039
0.345098039,0.345098039,0.345098039
0.345098039,0.345098039,0.376470588
0.345098039,0.360784314,0.329411765
0.376470588,0.345098039,0.360784314
0.360784314,0.360784314,0.360784314
0.360784314,0.360784314,0.392156863
0.360784314,0.376470588,0.345098039
0.360784314,0.376470588,0.376470588
0.376470588,0.376470588,0.376470588
0.360784314,0.392156863,0.360784314
0.376470588,0.392156863,0.360784314
0.376470588,0.392156863,0.392156863
0.392156863,0.392156863,0.392156863
0.376470588,0.407843137,0.376470588
0.376470588,0.407843137,0.407843137
0.392156863,0.407843137,0.407843137
0.407843137,0.407843137,0.392156863
0.423529412,0.407843137,0.392156863
0.392156863,0.423529412,0.423529412
0.407843137,0.423529412,0.423529412
0.423529412,0.423529412,0.407843137
0.407843137,0.439215686,0.407843137
0.439215686,0.423529412,0.439215686
0.423529412,0.439215686,0.439215686
0.439215686,0.439215686,0.423529412
0.423529412,0.454901961,0.423529412
0.423529412,0.454901961,0.454901961
0.439215686,0.454901961,0.454901961
0.454901961,0.454901961,0.439215686
0.439215686,0.470588235,0.439215686
0.439215686,0.470588235,0.470588235
0.48627451,0.454901961,0.454901961
0.470588235,0.470588235,0.454901961
0.470588235,0.470588235,0.48627451
0.454901961,0.48627451,0.48627451
0.501960784,0.470588235,0.470588235
0.48627451,0.48627451,0.470588235
0.48627451,0.48627451,0.501960784
0.470588235,0.501960784,0.501960784
0.517647059,0.48627451,0.48627451
0.501960784,0.501960784,0.48627451
0.501960784,0.501960784,0.517647059
0.48627451,0.517647059,0.517647059
0.533333333,0.501960784,0.501960784
0.533333333,0.501960784,0.533333333
0.517647059,0.517647059,0.533333333
0.533333333,0.517647059,0.517647059
0.517647059,0.533333333,0.517647059
0.549019608,0.517647059,0.549019608
0.533333333,0.533333333,0.549019608
0.549019608,0.533333333,0.533333333
0.533333333,0.549019608,0.533333333
0.564705882,0.533333333,0.564705882
0.549019608,0.549019608,0.564705882
0.564705882,0.549019608,0.549019608
0.549019608,0.564705882,0.549019608
