r,g,b
0.023529412,0,0.074509804
0.098039216,0.078431373,0.11372549
0.91372549,0.890196078,0.588235294
0.807843137,0.733333333,0.423529412
0.709803922,0.560784314,0.274509804
0.619607843,0.4,0.156862745
0.517647059,0.231372549,0.066666667
0.470588235,0.145098039,0.058823529
0.823529412,0.474509804,0.494117647
0.733333333,0.415686275,0.431372549
0.643137255,0.364705882,0.384313725
0.552941176,0.317647059,0.321568627
0.462745098,0.254901961,0.270588235
0.368627451,0.207843137,0.207843137
0.282352941,0.156862745,0.160784314
0.211764706,0.11372549,0.11372549
0.294117647,0.035294118,0.831372549
0.262745098,0.031372549,0.741176471
0.22745098,0.02745098,0.650980392
0.196078431,0.023529412,0.564705882
0.160784314,0.023529412,0.474509804
0.129411765,0.019607843,0.384313725
0.094117647,0.015686275,0.298039216
0.11372549,0.062745098,0.266666667
0.509803922,0.584313725,0.658823529
0.447058824,0.521568627,0.580392157
0.396078431,0.458823529,0.517647059
0.337254902,0.4,0.439215686
0.28627451,0.337254902,0.376470588
0.223529412,0.274509804,0.298039216
0.176470588,0.215686275,0.235294118
0.133333333,0.156862745,0.180392157
0.635294118,0.435294118,0.439215686
0.584313725,0.384313725,0.388235294
0.521568627,0.337254902,0.341176471
0.470588235,0.305882353,0.309803922
0.407843137,0.270588235,0.270588235
0.356862745,0.223529412,0.223529412
0.294117647,0.188235294,0.188235294
0.278431373,0.184313725,0.207843137
0.635294118,0.498039216,0.721568627
0.57254902,0.450980392,0.643137255
0.509803922,0.403921569,0.580392157
0.447058824,0.356862745,0.51372549
0.384313725,0.305882353,0.435294118
0.321568627,0.258823529,0.37254902
0.258823529,0.211764706,0.305882353
0.215686275,0.168627451,0.247058824
0.792156863,0.592156863,0.639215686
0.701960784,0.525490196,0.564705882
0.619607843,0.462745098,0.501960784
0.541176471,0.4,0.439215686
0.447058824,0.337254902,0.360784314
0.368627451,0.278431373,0.298039216
0.28627451,0.215686275,0.223529412
0.243137255,0.192156863,0.215686275
0.552941176,0.533333333,0.737254902
0.482352941,0.474509804,0.654901961
0.42745098,0.407843137,0.580392157
0.368627451,0.352941176,0.498039216
0.309803922,0.290196078,0.423529412
0.254901961,0.223529412,0.337254902
0.196078431,0.17254902,0.266666667
0.145098039,0.125490196,0.2
0.909803922,0.596078431,0.549019608
0.819607843,0.517647059,0.474509804
0.729411765,0.450980392,0.411764706
0.643137255,0.384313725,0.360784314
0.556862745,0.321568627,0.298039216
0.466666667,0.270588235,0.247058824
0.380392157,0.207843137,0.196078431
0.298039216,0.219607843,0.145098039
0.082352941,0.780392157,0.078431373
0.070588235,0.733333333,0.066666667
0.058823529,0.615686275,0.050980392
0.050980392,0.505882353,0.039215686
0.039215686,0.407843137,0.02745098
0.02745098,0.298039216,0.019607843
0.019607843,0.188235294,0.011764706
0.007843137,0.105882353,0.003921569
0.219607843,0.701960784,0.980392157
0.160784314,0.588235294,0.898039216
0.121568627,0.474509804,0.815686275
0.082352941,0.376470588,0.733333333
0.054901961,0.294117647,0.650980392
0.031372549,0.215686275,0.568627451
0.011764706,0.137254902,0.48627451
0.08627451,0.164705882,0.450980392
0.976470588,0.945098039,0.862745098
0.839215686,0.768627451,0.705882353
0.71372549,0.596078431,0.549019608
0.592156863,0.450980392,0.419607843
0.466666667,0.325490196,0.305882353
0.345098039,0.215686275,0.207843137
0.219607843,0.109803922,0.109803922
0.109803922,0.043137255,0.043137255
0.929411765,0.847058824,0.894117647
0.764705882,0.690196078,0.764705882
0.615686275,0.549019608,0.650980392
0.478431373,0.419607843,0.537254902
0.356862745,0.305882353,0.419607843
0.247058824,0.207843137,0.305882353
0.141176471,0.109803922,0.192156863
0.145098039,0.121568627,0.078431373
0.980392157,0.956862745,0
0.870588235,0.733333333,0
0.760784314,0.537254902,0
0.666666667,0.37254902,0
0.556862745,0.239215686,0
0.462745098,0.133333333,0
0.352941176,0.043137255,0
0.266666667,0.011764706,0
0.894117647,0,0.007843137
0.796078431,0,0.082352941
0.709803922,0,0.082352941
0.611764706,0,0.078431373
0.521568627,0,0.078431373
0.423529412,0,0.078431373
0.337254902,0,0.074509804
0.31372549,0.062745098,0.074509804
0.894117647,0.752941176,0.074509804
0.796078431,0.639215686,0.070588235
0.698039216,0.537254902,0.070588235
0.607843137,0.439215686,0.070588235
0.509803922,0.352941176,0.066666667
0.423529412,0.278431373,0.066666667
0.321568627,0.196078431,0.066666667
0.243137255,0.145098039,0.062745098
0,0,0.137254902
0,0,0.964705882
0,0,0.949019608
0,0,0.917647059
0,0,0.901960784
0,0,0.88627451
0,0,0.870588235
0,0,0.854901961
0,0,0.839215686
0,0,0.823529412
0,0,0.807843137
0,0,0.792156863
0,0,0.776470588
0,0,0.760784314
0,0,0.745098039
0,0,0.729411765
0,0,0.71372549
0,0,0.698039216
0,0,0.678431373
0,0,0.650980392
0,0,0.635294118
0,0,0.619607843
0,0,0.603921569
0,0,0.588235294
0,0,0.57254902
0,0,0.556862745
0,0,0.541176471
0,0,0.525490196
0,0,0.509803922
0,0,0.494117647
0,0,0.478431373
0,0,0.462745098
0.082352941,0.082352941,0.51372549
0.078431373,0.078431373,0.494117647
0.074509804,0.074509804,0.466666667
0.070588235,0.070588235,0.450980392
0.066666667,0.066666667,0.435294118
0.062745098,0.062745098,0.419607843
0.058823529,0.058823529,0.403921569
0.054901961,0.054901961,0.388235294
0.050980392,0.050980392,0.37254902
0.047058824,0.047058824,0.356862745
0.043137255,0.043137255,0.341176471
0.039215686,0.039215686,0.325490196
0.039215686,0.039215686,0.309803922
0.035294118,0.035294118,0.294117647
0.031372549,0.031372549,0.278431373
0.02745098,0.02745098,0.262745098
0.898039216,0.898039216,0.984313725
0.843137255,0.843137255,0.949019608
0.8,0.8,0.925490196
0.756862745,0.756862745,0.905882353
0.71372549,0.71372549,0.882352941
0.670588235,0.670588235,0.862745098
0.62745098,0.62745098,0.839215686
0.592156863,0.584313725,0.815686275
0.639215686,0.556862745,0.77254902
0.588235294,0.51372549,0.745098039
0.537254902,0.470588235,0.729411765
0.501960784,0.443137255,0.717647059
0.462745098,0.411764706,0.701960784
0.415686275,0.37254902,0.68627451
0.376470588,0.341176471,0.674509804
0.345098039,0.317647059,0.658823529
0,0.082352941,0.898039216
0,0.074509804,0.811764706
0,0.066666667,0.725490196
0,0.054901961,0.639215686
0,0.047058824,0.568627451
0,0.039215686,0.482352941
0,0.031372549,0.396078431
0.082352941,0.02745098,0.309803922
0.980392157,0.082352941,0.082352941
0.88627451,0.074509804,0.074509804
0.792156863,0.066666667,0.066666667
0.698039216,0.058823529,0.058823529
0.603921569,0.050980392,0.050980392
0.509803922,0.043137255,0.043137255
0.415686275,0.035294118,0.035294118
0.341176471,0.02745098,0.02745098
0.082352941,0.964705882,0
0.082352941,0.862745098,0
0.082352941,0.768627451,0
0.082352941,0.662745098,0
0.082352941,0.57254902,0
0.082352941,0.466666667,0
0.082352941,0.376470588,0
0.160784314,0.345098039,0.082352941
0.980392157,0.894117647,0.980392157
0.870588235,0.796078431,0.870588235
0.776470588,0.709803922,0.776470588
0.682352941,0.623529412,0.682352941
0.588235294,0.537254902,0.588235294
0.494117647,0.450980392,0.494117647
0.4,0.364705882,0.4
0.31372549,0.28627451,0.31372549
0.905882353,0.756862745,0
0.909803922,0.701960784,0.003921569
0.91372549,0.650980392,0.011764706
0.921568627,0.6,0.015686275
0.925490196,0.560784314,0.023529412
0.933333333,0.509803922,0.02745098
0.937254902,0.458823529,0.031372549
0.945098039,0.392156863,0.117647059
0.941176471,0.043137255,0.941176471
0.847058824,0.050980392,0.847058824
0.764705882,0.054901961,0.764705882
0.68627451,0.062745098,0.68627451
0.603921569,0.066666667,0.603921569
0.525490196,0.070588235,0.525490196
0.443137255,0.078431373,0.443137255
0.37254902,0.082352941,0.37254902
0.003921569,0.003921569,0.003921569
0.050980392,0.050980392,0.050980392
0.117647059,0.117647059,0.117647059
0.192156863,0.192156863,0.192156863
0.254901961,0.254901961,0.254901961
0.317647059,0.317647059,0.317647059
0.384313725,0.384313725,0.384313725
0.458823529,0.458823529,0.458823529
0.521568627,0.521568627,0.521568627
0.584313725,0.584313725,0.584313725
0.650980392,0.650980392,0.650980392
0.725490196,0.725490196,0.725490196
0.788235294,0.788235294,0.788235294
0.850980392,0.850980392,0.850980392
0.917647059,0.917647059,0.917647059
0.988235294,0.988235294,0.988235294
