r,g,b
0,0,0
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0,0,0.658823529
0.250980392,0.352941176,0
0.250980392,0.352941176,0
0.250980392,0.349019608,0
0.250980392,0.349019608,0
0.250980392,0.345098039,0
0.250980392,0.341176471,0
0.250980392,0.337254902,0
0.250980392,0.333333333,0
0.250980392,0.329411765,0
0.250980392,0.325490196,0
0.250980392,0.321568627,0
0.250980392,0.317647059,0
0.250980392,0.31372549,0
0.250980392,0.309803922,0
0.250980392,0.305882353,0
0.250980392,0.301960784,0
0.250980392,0.298039216,0
0.250980392,0.294117647,0
0.250980392,0.290196078,0
0.250980392,0.28627451,0
0.250980392,0.282352941,0
0.250980392,0.278431373,0
0.250980392,0.274509804,0
0.250980392,0.270588235,0
0.250980392,0.266666667,0
0.250980392,0.262745098,0
0.250980392,0.258823529,0
0.250980392,0.254901961,0
0.250980392,0.250980392,0
0.250980392,0.247058824,0
0.250980392,0.243137255,0
0.250980392,0.239215686,0
0.250980392,0.235294118,0
0.250980392,0.231372549,0
0.250980392,0.22745098,0
0.250980392,0.223529412,0
0.250980392,0.219607843,0
0.250980392,0.215686275,0
0.250980392,0.211764706,0
0.250980392,0.207843137,0
0.250980392,0.203921569,0
0.250980392,0.2,0
0.250980392,0.196078431,0
0.250980392,0.192156863,0
0.250980392,0.188235294,0
0.250980392,0.184313725,0
0.250980392,0.180392157,0
0.250980392,0.176470588,0
0.250980392,0.17254902,0
0.250980392,0.168627451,0
0.250980392,0.164705882,0
0.250980392,0.160784314,0
0.250980392,0.156862745,0
0.250980392,0.152941176,0
0.250980392,0.149019608,0
0.250980392,0.145098039,0
0.250980392,0.141176471,0
0.250980392,0.137254902,0
0.250980392,0.133333333,0
0.250980392,0.129411765,0
0.250980392,0.125490196,0
0.250980392,0.121568627,0
0.250980392,0.117647059,0
0.250980392,0.11372549,0
0.250980392,0.109803922,0
0.250980392,0.105882353,0
0.250980392,0.101960784,0
0.250980392,0.098039216,0
0.250980392,0.094117647,0
0.250980392,0.090196078,0
0.250980392,0.08627451,0
0.250980392,0.082352941,0
0.250980392,0.078431373,0
0.250980392,0.074509804,0
0.250980392,0.070588235,0
0.250980392,0.066666667,0
0.250980392,0.066666667,0
0.250980392,0.062745098,0
0.250980392,0.062745098,0
0.250980392,0.058823529,0
0.250980392,0.058823529,0
0.250980392,0.054901961,0
0.250980392,0.054901961,0
0.250980392,0.050980392,0
0.250980392,0.050980392,0
0.250980392,0.047058824,0
0.250980392,0.047058824,0
0.250980392,0.043137255,0
0.250980392,0.043137255,0
0.250980392,0.039215686,0
0.250980392,0.039215686,0
0.250980392,0.035294118,0
0.250980392,0.035294118,0
0.250980392,0.031372549,0
0.250980392,0.031372549,0
0.250980392,0.02745098,0
0.250980392,0.02745098,0
0.250980392,0.023529412,0
0.250980392,0.023529412,0
0.250980392,0.019607843,0
0.250980392,0.019607843,0
0.250980392,0.015686275,0
0.250980392,0.015686275,0
0.250980392,0.011764706,0
0.250980392,0.011764706,0
0.250980392,0.007843137,0
0.250980392,0.007843137,0
