r,g,b
0,0,0
0.133333333,0,0.133333333
0,0,0.266666667
0.133333333,0,0.4
0,0,0.533333333
0.133333333,0,0.666666667
0,0,0.8
0.133333333,0,0.933333333
0.266666667,0,0
0.4,0,0.133333333
0.266666667,0,0.266666667
0.4,0,0.4
0.266666667,0,0.533333333
0.4,0,0.666666667
0.266666667,0,0.8
0.4,0,0.933333333
0.533333333,0,0
0.666666667,0,0.133333333
0.533333333,0,0.266666667
0.666666667,0,0.4
0.533333333,0,0.533333333
0.666666667,0,0.666666667
0.533333333,0,0.8
0.666666667,0,0.933333333
0.8,0,0
0.933333333,0,0.133333333
0.8,0,0.266666667
0.933333333,0,0.4
0.8,0,0.533333333
0.933333333,0,0.666666667
0.8,0,0.8
0.933333333,0,0.933333333
0,0.133333333,0
0.133333333,0.133333333,0.133333333
0,0.133333333,0.266666667
0.133333333,0.133333333,0.4
0,0.133333333,0.533333333
0.133333333,0.133333333,0.666666667
0,0.133333333,0.8
0.133333333,0.133333333,0.933333333
0.266666667,0.133333333,0
0.4,0.133333333,0.133333333
0.266666667,0.133333333,0.266666667
0.4,0.133333333,0.4
0.266666667,0.133333333,0.533333333
0.4,0.133333333,0.666666667
0.266666667,0.133333333,0.8
0.4,0.133333333,0.933333333
0.533333333,0.133333333,0
0.666666667,0.133333333,0.133333333
0.533333333,0.133333333,0.266666667
0.666666667,0.133333333,0.4
0.533333333,0.133333333,0.533333333
0.666666667,0.133333333,0.666666667
0.533333333,0.133333333,0.8
0.666666667,0.133333333,0.933333333
0.8,0.133333333,0
0.933333333,0.133333333,0.133333333
0.8,0.133333333,0.266666667
0.933333333,0.133333333,0.4
0.8,0.133333333,0.533333333
0.933333333,0.133333333,0.666666667
0.8,0.133333333,0.8
0.933333333,0.133333333,0.933333333
0,0.266666667,0
0.133333333,0.266666667,0.133333333
0,0.266666667,0.266666667
0.133333333,0.266666667,0.4
0,0.266666667,0.533333333
0.133333333,0.266666667,0.666666667
0,0.266666667,0.8
