r,g,b
0,0,0
0.235294118,0,0.31372549
0.235294118,0,0.31372549
0.235294118,0,0.329411765
0.250980392,0,0.329411765
0.250980392,0,0.329411765
0.250980392,0,0.345098039
0.250980392,0,0.345098039
0.266666667,0,0.345098039
0.266666667,0,0.360784314
0.266666667,0,0.360784314
0.266666667,0,0.360784314
0.282352941,0,0.376470588
0.282352941,0,0.376470588
0.282352941,0,0.376470588
0.282352941,0,0.392156863
0.298039216,0,0.392156863
0.298039216,0,0.392156863
0.298039216,0,0.407843137
0.298039216,0,0.407843137
0.298039216,0,0.407843137
0.31372549,0,0.407843137
0.31372549,0,0.423529412
0.31372549,0,0.423529412
0.31372549,0,0.423529412
0.329411765,0,0.439215686
0.329411765,0,0.439215686
0.329411765,0,0.439215686
0.329411765,0,0.454901961
0.345098039,0,0.454901961
0.345098039,0,0.454901961
0.345098039,0,0.470588235
0.345098039,0,0.470588235
0.360784314,0,0.470588235
0.360784314,0,0.48627451
0.360784314,0,0.48627451
0.360784314,0,0.48627451
0.376470588,0,0.501960784
0.376470588,0,0.501960784
0.376470588,0,0.501960784
0.376470588,0,0.517647059
0.376470588,0,0.517647059
0.392156863,0,0.517647059
0.392156863,0,0.517647059
0.392156863,0,0.533333333
0.392156863,0,0.533333333
0.407843137,0,0.533333333
0.407843137,0,0.549019608
0.407843137,0,0.549019608
0.407843137,0,0.549019608
0.423529412,0,0.564705882
0.423529412,0,0.564705882
0.423529412,0,0.564705882
0.423529412,0,0.580392157
0.439215686,0,0.580392157
0.439215686,0,0.580392157
0.439215686,0,0.596078431
0.439215686,0,0.596078431
0.454901961,0,0.596078431
0.454901961,0,0.611764706
0.454901961,0,0.611764706
0.454901961,0,0.611764706
0.470588235,0,0.62745098
0.470588235,0,0.62745098
0.48627451,0.015686275,0.62745098
0.48627451,0.031372549,0.643137255
0.501960784,0.047058824,0.643137255
0.501960784,0.062745098,0.643137255
0.517647059,0.078431373,0.658823529
0.517647059,0.094117647,0.658823529
0.533333333,0.109803922,0.658823529
0.533333333,0.125490196,0.674509804
0.549019608,0.141176471,0.674509804
0.549019608,0.156862745,0.674509804
0.564705882,0.17254902,0.690196078
0.564705882,0.188235294,0.690196078
0.580392157,0.203921569,0.705882353
0.580392157,0.219607843,0.705882353
0.596078431,0.235294118,0.705882353
0.596078431,0.250980392,0.721568627
0.611764706,0.266666667,0.721568627
0.611764706,0.282352941,0.721568627
0.62745098,0.298039216,0.737254902
0.62745098,0.31372549,0.737254902
0.643137255,0.329411765,0.737254902
0.643137255,0.345098039,0.752941176
0.658823529,0.360784314,0.752941176
0.658823529,0.376470588,0.752941176
0.674509804,0.392156863,0.768627451
0.674509804,0.407843137,0.768627451
0.690196078,0.423529412,0.784313725
0.690196078,0.439215686,0.784313725
0.705882353,0.454901961,0.784313725
0.705882353,0.470588235,0.8
0.721568627,0.48627451,0.8
0.737254902,0.501960784,0.8
0.737254902,0.517647059,0.815686275
0.752941176,0.533333333,0.815686275
0.752941176,0.549019608,0.815686275
0.768627451,0.564705882,0.831372549
0.768627451,0.580392157,0.831372549
0.784313725,0.596078431,0.847058824
0.784313725,0.611764706,0.847058824
0.8,0.62745098,0.847058824
0.8,0.643137255,0.862745098
0.815686275,0.658823529,0.862745098
0.815686275,0.674509804,0.862745098
0.831372549,0.690196078,0.878431373
0.831372549,0.705882353,0.878431373
0.847058824,0.721568627,0.878431373
0.847058824,0.737254902,0.894117647
0.862745098,0.752941176,0.894117647
0.862745098,0.768627451,0.894117647
0.878431373,0.784313725,0.909803922
0.878431373,0.8,0.909803922
0.894117647,0.815686275,0.925490196
0.894117647,0.831372549,0.925490196
0.909803922,0.847058824,0.925490196
0.909803922,0.862745098,0.941176471
0.925490196,0.878431373,0.941176471
0.925490196,0.894117647,0.941176471
0.941176471,0.909803922,0.956862745
0.941176471,0.925490196,0.956862745
0.956862745,0.941176471,0.956862745
0.956862745,0.956862745,0.97254902
0.97254902,0.97254902,0.97254902
0.988235294,0.988235294,0.988235294
0.988235294,0.988235294,0.988235294
0.988235294,0.988235294,0.97254902
0.988235294,0.988235294,0.956862745
0.988235294,0.988235294,0.941176471
0.988235294,0.988235294,0.925490196
0.988235294,0.988235294,0.909803922
0.988235294,0.988235294,0.894117647
0.988235294,0.988235294,0.878431373
0.988235294,0.988235294,0.862745098
0.988235294,0.988235294,0.847058824
0.988235294,0.988235294,0.831372549
0.988235294,0.988235294,0.815686275
0.988235294,0.988235294,0.8
0.988235294,0.988235294,0.784313725
0.988235294,0.988235294,0.768627451
0.988235294,0.988235294,0.752941176
0.988235294,0.988235294,0.737254902
0.988235294,0.988235294,0.721568627
0.988235294,0.988235294,0.705882353
0.988235294,0.988235294,0.690196078
0.988235294,0.988235294,0.674509804
0.988235294,0.988235294,0.658823529
0.988235294,0.988235294,0.643137255
0.988235294,0.988235294,0.62745098
0.988235294,0.988235294,0.611764706
0.988235294,0.988235294,0.596078431
0.988235294,0.988235294,0.580392157
0.988235294,0.988235294,0.564705882
0.988235294,0.988235294,0.549019608
0.988235294,0.988235294,0.533333333
0.988235294,0.988235294,0.517647059
0.988235294,0.988235294,0.501960784
0.988235294,0.988235294,0.48627451
0.988235294,0.988235294,0.470588235
0.988235294,0.988235294,0.454901961
0.988235294,0.988235294,0.439215686
0.988235294,0.988235294,0.423529412
0.988235294,0.988235294,0.407843137
0.988235294,0.988235294,0.392156863
0.988235294,0.988235294,0.376470588
0.988235294,0.988235294,0.360784314
0.988235294,0.988235294,0.345098039
0.988235294,0.988235294,0.329411765
0.988235294,0.988235294,0.31372549
0.988235294,0.988235294,0.298039216
0.988235294,0.988235294,0.282352941
0.988235294,0.988235294,0.266666667
0.988235294,0.988235294,0.250980392
0.988235294,0.988235294,0.235294118
0.988235294,0.988235294,0.219607843
0.988235294,0.988235294,0.203921569
0.988235294,0.988235294,0.188235294
0.988235294,0.988235294,0.17254902
0.988235294,0.988235294,0.156862745
0.988235294,0.988235294,0.141176471
0.988235294,0.988235294,0.125490196
0.988235294,0.988235294,0.109803922
0.988235294,0.988235294,0.094117647
0.988235294,0.988235294,0.078431373
0.988235294,0.988235294,0.062745098
0.988235294,0.988235294,0.047058824
0.988235294,0.988235294,0.031372549
0.988235294,0.988235294,0.015686275
0.988235294,0.988235294,0
0.988235294,0.97254902,0
0.97254902,0.956862745,0
0.956862745,0.941176471,0
0.941176471,0.925490196,0.015686275
0.941176471,0.909803922,0.015686275
0.925490196,0.894117647,0.015686275
