r,g,b
1,1,1
0.968627451,0.968627451,0.968627451
0.937254902,0.937254902,0.937254902
0.905882353,0.905882353,0.905882353
0.874509804,0.874509804,0.874509804
0.843137255,0.843137255,0.843137255
0.811764706,0.811764706,0.811764706
0.780392157,0.780392157,0.780392157
0.749019608,0.749019608,0.749019608
0.717647059,0.717647059,0.717647059
0.68627451,0.68627451,0.68627451
0.654901961,0.654901961,0.654901961
0.623529412,0.623529412,0.623529412
0.592156863,0.592156863,0.592156863
0.560784314,0.560784314,0.560784314
0.529411765,0.529411765,0.529411765
0.498039216,0.498039216,0.498039216
0.466666667,0.466666667,0.466666667
0.435294118,0.435294118,0.435294118
0.403921569,0.403921569,0.403921569
0.37254902,0.37254902,0.37254902
0.341176471,0.341176471,0.341176471
0.309803922,0.309803922,0.309803922
0.278431373,0.278431373,0.278431373
0.247058824,0.247058824,0.247058824
0.215686275,0.215686275,0.215686275
0.184313725,0.184313725,0.184313725
0.152941176,0.152941176,0.152941176
0.121568627,0.121568627,0.121568627
0.090196078,0.090196078,0.090196078
0.058823529,0.058823529,0.058823529
0.02745098,0.02745098,0.02745098
0,0,0
0.749019608,0.654901961,0.560784314
0.717647059,0.62745098,0.533333333
0.68627451,0.596078431,0.501960784
0.654901961,0.564705882,0.470588235
0.623529412,0.537254902,0.443137255
0.588235294,0.505882353,0.411764706
0.556862745,0.474509804,0.380392157
0.525490196,0.447058824,0.352941176
0.494117647,0.415686275,0.321568627
0.458823529,0.384313725,0.290196078
0.42745098,0.352941176,0.258823529
0.396078431,0.325490196,0.231372549
0.364705882,0.294117647,0.2
0.329411765,0.262745098,0.168627451
0.298039216,0.235294118,0.141176471
0.262745098,0.2,0.105882353
0.749019608,0.482352941,0.294117647
0.701960784,0.450980392,0.278431373
0.670588235,0.435294118,0.262745098
0.639215686,0.419607843,0.247058824
0.607843137,0.388235294,0.231372549
0.560784314,0.37254902,0.215686275
0.529411765,0.341176471,0.2
0.498039216,0.325490196,0.184313725
0.466666667,0.309803922,0.168627451
0.419607843,0.278431373,0.152941176
0.37254902,0.262745098,0.137254902
0.325490196,0.247058824,0.121568627
0.294117647,0.215686275,0.105882353
0.247058824,0.184313725,0.090196078
0.2,0.168627451,0.074509804
