r,g,b
1,1,1
0.964705882,0.964705882,0.964705882
0.929411765,0.929411765,0.929411765
0.894117647,0.894117647,0.894117647
0.854901961,0.854901961,0.854901961
0.819607843,0.819607843,0.819607843
0.784313725,0.784313725,0.784313725
0.749019608,0.749019608,0.749019608
0.717647059,0.717647059,0.717647059
0.68627451,0.68627451,0.68627451
0.654901961,0.654901961,0.654901961
0.623529412,0.623529412,0.623529412
0.592156863,0.592156863,0.592156863
0.560784314,0.560784314,0.560784314
0.529411765,0.529411765,0.529411765
0.498039216,0.498039216,0.498039216
0.466666667,0.466666667,0.466666667
0.435294118,0.435294118,0.435294118
0.403921569,0.403921569,0.403921569
0.37254902,0.37254902,0.37254902
0.341176471,0.341176471,0.341176471
0.309803922,0.309803922,0.309803922
0.278431373,0.278431373,0.278431373
0.247058824,0.247058824,0.247058824
0.215686275,0.215686275,0.215686275
0.184313725,0.184313725,0.184313725
0.152941176,0.152941176,0.152941176
0.121568627,0.121568627,0.121568627
0.090196078,0.090196078,0.090196078
0.058823529,0.058823529,0.058823529
0.02745098,0.02745098,0.02745098
0,0,0
1,0.498039216,0.498039216
1,0.37254902,0.37254902
1,0.247058824,0.247058824
1,0,0
0.937254902,0,0
0.874509804,0,0
0.811764706,0,0
0.749019608,0,0
0.68627451,0,0
0.623529412,0,0
0.560784314,0,0
0.498039216,0,0
0.435294118,0,0
0.37254902,0,0
0.278431373,0,0
0.215686275,0,0
1,0.858823529,0.752941176
1,0.796078431,0.592156863
1,0.725490196,0.458823529
1,0.658823529,0.333333333
1,0.592156863,0.211764706
1,0.525490196,0.098039216
1,0.458823529,0
0.925490196,0.411764706,0
0.866666667,0.368627451,0
0.815686275,0.345098039,0
0.768627451,0.309803922,0
0.709803922,0.266666667,0
0.623529412,0.219607843,0
0.541176471,0.160784314,0
0.505882353,0.125490196,0
0.474509804,0.094117647,0
0.921568627,0.858823529,0.341176471
0.843137255,0.733333333,0.262745098
0.764705882,0.607843137,0.184313725
0.68627451,0.482352941,0.121568627
0.607843137,0.356862745,0.074509804
0.529411765,0.262745098,0.02745098
0.458823529,0.160784314,0
0.333333333,0,0
1,1,0.309803922
1,1,0
0.890196078,0.850980392,0.058823529
0.788235294,0.733333333,0.054901961
0.666666667,0.607843137,0.043137255
0.533333333,0.470588235,0.035294118
0.439215686,0.376470588,0.02745098
0.352941176,0.28627451,0.019607843
1,1,0.811764706
1,1,0.68627451
1,1,0.560784314
1,1,0.450980392
0.921568627,0.870588235,0.505882353
0.815686275,0.760784314,0.501960784
0.717647059,0.662745098,0.466666667
0.588235294,0.51372549,0.364705882
0.870588235,1,0.658823529
0.780392157,0.894117647,0.580392157
0.678431373,0.784313725,0.501960784
0.584313725,0.678431373,0.419607843
0.48627451,0.57254902,0.345098039
0.392156863,0.466666667,0.266666667
0.290196078,0.352941176,0.188235294
0.196078431,0.247058824,0.11372549
0.466666667,1,0.309803922
0.439215686,0.941176471,0.294117647
0.411764706,0.878431373,0.274509804
0.380392157,0.815686275,0.254901961
0.352941176,0.752941176,0.235294118
0.321568627,0.690196078,0.215686275
0.294117647,0.62745098,0.196078431
0.262745098,0.564705882,0.176470588
0.235294118,0.501960784,0.156862745
0.207843137,0.439215686,0.137254902
0.176470588,0.376470588,0.117647059
0.149019608,0.31372549,0.098039216
0.117647059,0.250980392,0.078431373
0.090196078,0.188235294,0.058823529
0.058823529,0.125490196,0.039215686
0.02745098,0.058823529,0.015686275
0,1,0
0,0.874509804,0
0,0.749019608,0
0,0.623529412,0
0,0.498039216,0
0,0.37254902,0
0,0.247058824,0
0,0.176470588,0
0.717647059,0.984313725,0.905882353
0.4,0.968627451,0.796078431
0.082352941,0.949019608,0.690196078
0.043137255,0.823529412,0.592156863
0.011764706,0.694117647,0.501960784
0.007843137,0.576470588,0.419607843
0.007843137,0.450980392,0.329411765
0.003921569,0.337254902,0.247058824
0.807843137,0.980392157,1
0.650980392,0.945098039,1
0.458823529,0.905882353,1
