r,g,b
0,0,0
0.141176471,0,0
0.282352941,0,0
0.42745098,0,0
0.568627451,0,0
0.71372549,0,0
0.854901961,0,0
1,0,0
0,0.141176471,0
0.141176471,0.141176471,0
0.282352941,0.141176471,0
0.42745098,0.141176471,0
0.568627451,0.141176471,0
0.71372549,0.141176471,0
0.854901961,0.141176471,0
1,0.141176471,0
0,0.282352941,0
0.141176471,0.282352941,0
0.282352941,0.282352941,0
0.42745098,0.282352941,0
0.568627451,0.282352941,0
0.71372549,0.282352941,0
0.854901961,0.282352941,0
1,0.282352941,0
0,0.42745098,0
0.141176471,0.42745098,0
0.282352941,0.42745098,0
0.42745098,0.42745098,0
0.568627451,0.42745098,0
0.71372549,0.42745098,0
0.854901961,0.42745098,0
1,0.42745098,0
0,0.568627451,0
0.141176471,0.568627451,0
0.282352941,0.568627451,0
0.42745098,0.568627451,0
0.568627451,0.568627451,0
0.71372549,0.568627451,0
0.854901961,0.568627451,0
1,0.568627451,0
0,0.71372549,0
0.141176471,0.71372549,0
0.282352941,0.71372549,0
0.42745098,0.71372549,0
0.568627451,0.71372549,0
0.71372549,0.71372549,0
0.854901961,0.71372549,0
1,0.71372549,0
0,0.854901961,0
0.141176471,0.854901961,0
0.282352941,0.854901961,0
0.42745098,0.854901961,0
0.568627451,0.854901961,0
0.71372549,0.854901961,0
0.854901961,0.854901961,0
1,0.854901961,0
0,1,0
0.141176471,1,0
0.282352941,1,0
0.42745098,1,0
0.568627451,1,0
0.71372549,1,0
0.854901961,1,0
1,1,0
0,0,0.333333333
0.141176471,0,0.333333333
0.282352941,0,0.333333333
0.42745098,0,0.333333333
0.568627451,0,0.333333333
0.71372549,0,0.333333333
0.854901961,0,0.333333333
1,0,0.333333333
0,0.141176471,0.333333333
0.141176471,0.141176471,0.333333333
0.282352941,0.141176471,0.333333333
0.42745098,0.141176471,0.333333333
0.568627451,0.141176471,0.333333333
0.71372549,0.141176471,0.333333333
0.854901961,0.141176471,0.333333333
1,0.141176471,0.333333333
0,0.282352941,0.333333333
0.141176471,0.282352941,0.333333333
0.282352941,0.282352941,0.333333333
0.42745098,0.282352941,0.333333333
0.568627451,0.282352941,0.333333333
0.71372549,0.282352941,0.333333333
0.854901961,0.282352941,0.333333333
1,0.282352941,0.333333333
0,0.42745098,0.333333333
0.141176471,0.42745098,0.333333333
0.282352941,0.42745098,0.333333333
0.42745098,0.42745098,0.333333333
0.568627451,0.42745098,0.333333333
0.71372549,0.42745098,0.333333333
0.854901961,0.42745098,0.333333333
1,0.42745098,0.333333333
0,0.568627451,0.333333333
0.141176471,0.568627451,0.333333333
0.282352941,0.568627451,0.333333333
0.42745098,0.568627451,0.333333333
0.568627451,0.568627451,0.333333333
0.71372549,0.568627451,0.333333333
