r,g,b
0,0,0
0.501960784,0,0
0,0.501960784,0
0.501960784,0.501960784,0
0,0,0.501960784
0.501960784,0,0.501960784
0,0.501960784,0.501960784
0.752941176,0.752941176,0.752941176
0.752941176,0.862745098,0.752941176
0.650980392,0.792156863,0.941176471
0.164705882,0.247058824,0.666666667
0.164705882,0.247058824,1
0.164705882,0.37254902,0
0.164705882,0.37254902,0.333333333
0.164705882,0.37254902,0.666666667
0.164705882,0.37254902,1
0.164705882,0.498039216,0
0.164705882,0.498039216,0.333333333
0.164705882,0.498039216,0.666666667
0.164705882,0.498039216,1
0.164705882,0.623529412,0
0.164705882,0.623529412,0.333333333
0.164705882,0.623529412,0.666666667
0.164705882,0.623529412,1
0.164705882,0.749019608,0
0.164705882,0.749019608,0.333333333
0.164705882,0.749019608,0.666666667
0.164705882,0.749019608,1
0.164705882,0.874509804,0
0.164705882,0.874509804,0.333333333
0.164705882,0.874509804,0.666666667
0.164705882,0.874509804,1
0.164705882,1,0
0.164705882,1,0.333333333
0.164705882,1,0.666666667
0.164705882,1,1
0.333333333,0,0
0.333333333,0,0.333333333
0.333333333,0,0.666666667
0.333333333,0,1
0.333333333,0.121568627,0
0.333333333,0.121568627,0.333333333
0.333333333,0.121568627,0.666666667
0.333333333,0.121568627,1
0.333333333,0.247058824,0
0.333333333,0.247058824,0.333333333
0.333333333,0.247058824,0.666666667
0.333333333,0.247058824,1
0.333333333,0.37254902,0
0.333333333,0.37254902,0.333333333
0.333333333,0.37254902,0.666666667
0.333333333,0.37254902,1
0.333333333,0.498039216,0
0.333333333,0.498039216,0.333333333
0.333333333,0.498039216,0.666666667
0.333333333,0.498039216,1
0.333333333,0.623529412,0
0.333333333,0.623529412,0.333333333
0.333333333,0.623529412,0.666666667
0.333333333,0.623529412,1
0.333333333,0.749019608,0
0.333333333,0.749019608,0.333333333
0.333333333,0.749019608,0.666666667
0.333333333,0.749019608,1
0.333333333,0.874509804,0
0.333333333,0.874509804,0.333333333
0.333333333,0.874509804,0.666666667
0.333333333,0.874509804,1
0.333333333,1,0
0.333333333,1,0.333333333
0.333333333,1,0.666666667
0.333333333,1,1
0.498039216,0,0
0.498039216,0,0.333333333
0.498039216,0,0.666666667
0.498039216,0,1
0.498039216,0.121568627,0
0.498039216,0.121568627,0.333333333
0.498039216,0.121568627,0.666666667
0.498039216,0.121568627,1
0.498039216,0.247058824,0
0.498039216,0.247058824,0.333333333
0.498039216,0.247058824,0.666666667
0.498039216,0.247058824,1
0.498039216,0.37254902,0
0.498039216,0.37254902,0.333333333
0.498039216,0.37254902,0.666666667
0.498039216,0.37254902,1
0.498039216,0.498039216,0
0.498039216,0.498039216,0.333333333
0.498039216,0.498039216,0.666666667
0.498039216,0.498039216,1
0.498039216,0.623529412,0
0.498039216,0.623529412,0.333333333
0.498039216,0.623529412,0.666666667
0.498039216,0.623529412,1
0.498039216,0.749019608,0
0.498039216,0.749019608,0.333333333
0.498039216,0.749019608,0.666666667
0.498039216,0.749019608,1
0.498039216,0.874509804,0
0.498039216,0.874509804,0.333333333
0.498039216,0.874509804,0.666666667
0.498039216,0.874509804,1
0.498039216,1,0
0.498039216,1,0.333333333
0.498039216,1,0.666666667
0.498039216,1,1
0.666666667,0,0
0.666666667,0,0.333333333
0.666666667,0,0.666666667
0.666666667,0,1
0.666666667,0.121568627,0
0.666666667,0.121568627,0.333333333
0.666666667,0.121568627,0.666666667
0.666666667,0.121568627,1
